admin_name,density
Hà Nội,2182
Vĩnh Phúc,863
Bắc Ninh,1432
Quảng Ninh,198
Hải Dương,1070
Hải Phòng,1268
Hưng Yên,1258
Thái Bình,1128
Nam Định,1110
Ninh Bình,687
Hà Giang,103
Cao Bằng,79
Bắc Kạn,66
Tuyên Quang,131
Lào Cai,108
Yên Bái,116
Thái Nguyên,348
Lạng Sơn,92
Bắc Giang,426
Phú Thọ,391
Điện Biên,58
Lai Châu,48
Sơn La,86
Hoà Bình,181
Thanh Hoá,317
Nghệ An,188
Hà Tĩnh,211
Quảng Bình,110
Quảng Trị,135
Thừa Thiên - Huế,235
Đà Nẵng,814
Quảng Nam,141
Quảng Ngãi,243
Bình Định,251
Phú Yên,179
Khánh Hoà,236
Ninh Thuận,179
Bình Thuận,154
Tây Nguyên,104
Kon Tum,52
Gia Lai,91
Đắk Lắk,144
Đắk Nông,93
Lâm Đồng,132
Bình Phước,139
Tây Ninh,277
Bình Dương,741
Đồng Nai,505
Bà Rịa - Vũng Tàu,551
TP. Hồ Chí Minh,4025
Long An,332
Tiền Giang,693
Bến Tre,528
Trà Vinh,441
Vĩnh Long,687
Đồng Tháp,499
An Giang,611
Kiên Giang,280
Cần Thơ,874
Hậu Giang,476
Sóc Trăng,396
Bạc Liêu,332
Cà Mau,234
